127.0.0.1 - - [02/May/2023:20:29:04 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:06 +0800] "GET /atcrowdfunding02-admin-webui/index.jsp HTTP/1.1" 200 4126
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:06 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:06 +0800] "GET /atcrowdfunding02-admin-webui/layer/layer.js HTTP/1.1" 200 22116
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:06 +0800] "GET /atcrowdfunding02-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:08 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html?pageNum=10&keyword=3 HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:09 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:09 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:09 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:09 +0800] "GET /atcrowdfunding02-admin-webui/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:09 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:10 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:11 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html?pageNum=10&keyword=3 HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:11 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:11 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:11 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21963
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:11 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:11 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:11 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:16 +0800] "POST /atcrowdfunding02-admin-webui/admin/do/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:16 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/main/page.html HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:16 +0800] "GET /atcrowdfunding02-admin-webui/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:16 +0800] "GET /atcrowdfunding02-admin-webui/layer/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:16 +0800] "GET /atcrowdfunding02-admin-webui/script/docs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:17 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:24 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/main/page.html HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:24 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:24 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21963
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:25 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:25 +0800] "GET /atcrowdfunding02-admin-webui/layer/layer.js HTTP/1.1" 200 22116
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:25 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:25 +0800] "GET /atcrowdfunding02-admin-webui/css/main.css HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:25 +0800] "GET /atcrowdfunding02-admin-webui/script/docs.min.js HTTP/1.1" 200 43107
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:25 +0800] "GET /atcrowdfunding02-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:25 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:25 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:29 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html HTTP/1.1" 200 14239
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:29 +0800] "GET /atcrowdfunding02-admin-webui/css/pagination.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:20:29:29 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery.pagination.js HTTP/1.1" 304 -
